location,price,no_of_bedrooms,no_of_bathrooms,amenities,property_type
Palm Jumeirah,1950000,1,2,"Pool, Gym, Parking",Apartment
Palm Jumeirah,1850000,2,2,"Pool, Gym, Parking",Villa
Jumeirah Lake Towers,1100000,3,5,"Pool, Gym, Parking",Apartment
Culture Village,1750000,2,3,"Pool, Gym, Parking",Office Space
Palm Jumeirah,1720000,0,1,"Pool, Gym, Parking",Apartment
Palm Jumeirah,1999900,1,2,"Pool, Gym, Parking",Office Space
Palm Jumeirah,1850600,2,3,"Pool, Gym, Parking",House
Palm Jumeirah,1950000,1,2,"Pool, Gym, Parking",Penthouse
Palm Jumeirah,1200000,3,3,"Pool, Gym, Parking",Villa
Downtown Dubai,1690000,2,3,"Pool, Gym, Parking",Office Space
Downtown Dubai,1550000,3,4,"Pool, Gym, Parking",House
Dubai Marina,1049999,2,3,"Pool, Gym, Parking",Apartment
Dubai Marina,1099999,1,2,"Pool, Gym, Parking",Villa
Palm Jumeirah,1849000,1,1,"Pool, Gym, Parking",Penthouse
Palm Jumeirah,1089999,1,1,"Pool, Gym, Parking",House
Palm Jumeirah,1349990,1,1,"Pool, Gym, Parking",Office Space
Palm Jumeirah,1499000,2,2,"Pool, Gym, Parking",Penthouse
Downtown Dubai,1700000,2,3,"Pool, Gym, Parking",Villa
Downtown Dubai,1490000,2,2,"Pool, Gym, Parking",Apartment
